Store Name,Store Location,Address,City,State,Zip Code,Latitude,Longitude,County
West Des Moines,SWC University Ave & 35th,1800 Valley West Dr,West Des Moines,IA,50266-1104,41.5996578,-93.7532915,Polk County
Westchase,SWC Westheimer & Wilcrest,10801 Westheimer Rd,Houston,TX,77042-3201,29.735006,-95.5678431,Harris County
Sioux Falls,SEC S Louise Ave & 41st St,3600 S Louise Ave,Sioux Falls,SD,57106-6326,43.5122473,-96.7687128,Minnehaha County
Alton,NEC Homer Adams Pkwy & Alby Rd,300 Homer M Adams Pkwy,Alton,IL,62002-5928,38.9217093,-90.1702929,Madison County
Fort Collins,SWC Troutman & College,105 W Troutman Pkwy,Fort Collins,CO,80525-3038,40.5268884,-105.0784551,Larimer County
Wichita Falls,SEC Kemp Blvd & Elliot St,4317 Kemp Blvd,Wichita Falls,TX,76308-3717,33.8649109,-98.533414,Wichita County
Waukesha,SWC Hwy 18 & I-94,2401 Kossow Rd,Waukesha,WI,53186-2904,43.0342396,-88.1768511,Waukesha County
Lubbock,SWC Loop 289 & University,7302 University Ave,Lubbock,TX,79423-1423,33.5282468,-101.8729513,Lubbock County
Minot,SWC 52 Bypass South & 10th St SW,2400 10th St SW,Minot,ND,58701-2013,48.2062908,-101.311629,Ward County
Dubuque,SWC US Hwy 20 & Mercer Wacker,3500 Dodge St,Dubuque,IA,52003-5261,42.4905073,-90.7217227,Dubuque County
Memphis Central,SWC Colonial Rd & Poplar Ave,601 Colonial Rd,Memphis,TN,38117-5132,35.1135223,-89.903388,Shelby County
Grand Junction,NEC Hwy 6 & 24 Rd,2424 Highway 6 and 50,Grand Junction,CO,81505-1109,39.0951733,-108.6034802,Mesa County
Austin North,SEC Research Blvd & Ohlen Rd,8601 Research Blvd,Austin,TX,78758-7121,30.3627666,-97.7154191,Travis County
Austin South,SEC W Ben White S & Lamar Blvd,2300 W Ben White Blvd,Austin,TX,78704-7525,30.2334435,-97.7915789,Travis County
Ridgedale,SWC Plymouth & Hwy 12,13201 Ridgedale Dr,Minnetonka,MN,55305-1809,44.9698792,-93.447915,Hennepin County
Evansville North,NWC 1st Ave & Buena Vista Rd,4000 1st Ave,Evansville,IN,47710-3614,38.0155144,-87.5769217,Vanderburgh County
Kokomo,SWC US 31 & Markland,1037 S Reed Rd,Kokomo,IN,46902-1929,40.4758572,-86.1076241,Howard County
Bloomington Normal,SWC Veteran's Pkwy & Keller Rd,301 Veterans Pkwy,Normal,IL,61761-2115,40.5053365,-88.9556389,McLean County
New Albany,SWC State St & Captain Frank Rd,2209 State St,New Albany,IN,47150-4924,38.3049439,-85.8418122,Floyd County
Rivergate,NWC Gallatin Pike & Conference Dr,2050 Gallatin Rd N,Madison,TN,37115-2002,36.3045844,-86.6941888,Davidson County
White Bridge,NWC White Bridge Pk & Post Rd,26 White Bridge Rd,Nashville,TN,37205-1411,36.131056,-86.8543849,Davidson County
Arapahoe,SEC Arapahoe & I-25,6767 S Clinton St,Englewood,CO,80112-3617,39.5841054,-104.8780193,Arapahoe County
Knoxville West,NEC Ray Mears Blvd & Winston Rd,8040 Ray Mears Blvd,Knoxville,TN,37919-5457,35.921764,-84.047831,Knox County
Racine,NWC Ohio St & Rt 11,5300 Durand Ave,Racine,WI,53406-5056,42.6990583,-87.8431188,Racine County
Colorado Springs North,SWC Academy Blvd & Montebello,5240 N Academy Blvd,Colorado Springs,CO,80918-4004,38.9049199,-104.7806994,El Paso County
Beaumont,NEC Hwy 69/96 & Dowlen Rd,5850 Eastex Fwy,Beaumont,TX,77708-4824,30.1265511,-94.1527447,Jefferson County
Little Rock North,SWC McCain Blvd & Hwy 67,4000 McCain Blvd,North Little Rock,AR,72116-8039,34.7893476,-92.2284247,Pulaski County
Casper,SEC Hwy 25 & 2nd St,401 SE Wyoming Blvd,Casper,WY,82609-4219,42.847325,-106.263975,Natrona County
Alexandria,NEC Memorial Drive & Masonic Dr,2206 Memorial Dr,Alexandria,LA,71301-3611,31.2804409,-92.4582981,Rapides Parish
Billings,NWC Central Ave & 24th,2601 Central Ave,Billings,MT,59102-6652,45.7711784,-108.582727,Yellowstone County
Bitters,NEC Hwy 281 & Bitters Rd,13700 San Pedro Ave,San Antonio,TX,78232-4332,29.564629,-98.4797604,Bexar County
Tucson Broadway,NEC E Broadway & Rosemont,5255 E Broadway Blvd,Tucson,AZ,85711-3702,32.2232321,-110.8806853,Pima County
Pacoima,SWC Laurel Canyon & Osborne,9725 Laurel Canyon Blvd,Pacoima,CA,91331-4100,34.2451465,-118.4193192,Los Angeles County
Alhambra,SWC Palm St & Poplar Blvd,2120 W Main St,Alhambra,CA,91801-1856,34.091167,-118.1471664,Los Angeles County
Orange Show,SEC Orangeshow Rd & South St,499 W Orange Show Rd,San Bernardino,CA,92408-2029,34.0782565,-117.2922189,San Bernardino County
Commerce,SWC Whittier Blvd & Eastmont Ave,5600 Whittier Blvd,Commerce,CA,90022-4106,34.0166332,-118.1508963,Los Angeles County
South Gate,SWC Firestone & Garfield Eastern,5700 Firestone Blvd,South Gate,CA,90280-3704,33.9480396,-118.1679095,Los Angeles County
Garden Grove Harbor,SEC Harbor Blvd & Chapman Ave,12100 Harbor Blvd,Garden Grove,CA,92840-4004,33.7871978,-117.9132408,Orange County
Brookhurst,NWC Brookhurst & Westminster Av,13831 Brookhurst St,Garden Grove,CA,92843-3120,33.7619391,-117.956338,Orange County
Long Beach Bellflower,NEC Bellflower Blvd & 23rd St,2270 N Bellflower Blvd,Long Beach,CA,90815-2017,33.798013,-118.1227191,Los Angeles County
Culver City,SEC Jefferson Blvd & Cota St,10820 Jefferson Blvd,Culver City,CA,90230-4935,33.999198,-118.393688,Los Angeles County
Manhattan Beach,NEC Sepulveda & Manhattan Bch,1200 N Sepulveda Blvd,Manhattan Beach,CA,90266-5104,33.888458,-118.3943292,Los Angeles County
Torrance,NWC Sepulveda Blvd & Madrona Ave,3433 Sepulveda Blvd,Torrance,CA,90505-2606,33.8268676,-118.3456196,Los Angeles County
Sports Arena,NWC East Dr & Midway Dr,3245 Sports Arena Blvd,San Diego,CA,92110-4529,32.7514122,-117.2102048,San Diego County
Chula Vista Broadway,NWC Polomar St & Broadway,1240 Broadway,Chula Vista,CA,91911-2911,32.6046548,-117.0810495,San Diego County
Kearny Mesa,SEC Othello & Convoy St,8001 Othello Ave,San Diego,CA,92111-3713,32.816502,-117.151055,San Diego County
Riverside,NWC Tyler Ave & Hwy 91,3520 Tyler St,Riverside,CA,92503-4175,33.9065402,-117.4599971,Riverside County
St Cloud,NEC Division St & Park Ave,4201 W Division St,Saint Cloud,MN,56301-6601,45.5534647,-94.2104446,Stearns County
Lincoln,SWC 48th St & R St,333 N 48th St,Lincoln,NE,68504-3505,40.8163968,-96.6554099,Lancaster County
Abilene,SWC Buffalo Gap Dr & Hwy 84,3710 Ridgemont Dr,Abilene,TX,79606-2726,32.4056673,-99.7676846,Taylor County
Eden Prairie,SEC I- 494 & Flying Cloud Dr,8225 Flying Cloud Dr,Eden Prairie,MN,55344-5315,44.8557802,-93.4255924,Hennepin County
Amarillo,SEC Soncy Rd & I-40,8201 I-40 W,Amarillo,TX,79121-1104,35.1860744,-101.9342896,Potter County
Puente Hills,NWC Colima Rd & Walnut Hall Dr,17751 Colima Rd,Rowland Heights,CA,91748-1714,33.9921651,-117.9189756,Los Angeles County
Milwaukee Chase,NEC Chase Ave & Oklahoma Ave,2950 S Chase Ave,Milwaukee,WI,53207-6407,42.9916445,-87.9076472,Milwaukee County
Cheyenne,NWC Dell Range & Frontier Mall,1708 Dell Range Blvd,Cheyenne,WY,82009-4945,41.1619267,-104.800476,Laramie County
Laverne,SEC Foothill Blvd & White Ave,2462 Foothill Blvd,La Verne,CA,91750-3056,34.1096594,-117.7598259,Los Angeles County
Santa Fe Springs,SWC Carmanita & Telegraph,10621 Carmenita Rd,Santa Fe Springs,CA,90670-4017,33.9378224,-118.0481685,Los Angeles County
West Hills,NWC Fallbrook Ave & VictoryBlvd,6635 Fallbrook Ave,West Hills,CA,91307-3520,34.1903009,-118.6267193,Los Angeles County
Cypress,NWC Knott & Katella,6835 Katella Ave,Cypress,CA,90630-5107,33.804178,-118.0131517,Orange County
Orange,NEC Tustin Ave & Meats Ave,2191 N Tustin St,Orange,CA,92865-3701,33.824906,-117.8345674,Orange County
Paradise Valley,NWC Cactus & Paradise Village,12602 N Paradise Village Pkwy W,Phoenix,AZ,85032-7671,33.6005154,-111.9895388,Maricopa County
Appleton,SWC US Hwy 41 & Wisconsin Ave/US 10,4301 W Wisconsin Ave,Appleton,WI,54913-8605,44.2692534,-88.4705139,Outagamie County
Columbia,NWC US 740 & Worley St,2400 Bernadette Dr,Columbia,MO,65203-4616,38.9642585,-92.3777163,Boone County
Brooklyn Center,SWC Hwy 100 & I-94,6100 Shingle Creek Pkwy,Brooklyn Center,MN,55430-2110,45.0656526,-93.3071825,Hennepin County
Lancaster,SWC Ave,43525 10th St W,Lancaster,CA,93534-6091,34.6731439,-118.1489924,Los Angeles County
Simi Valley,SEC Cochran & Sycamore Dr,2907 Cochran St,Simi Valley,CA,93065-2773,34.2806247,-118.739793,Ventura County
Westminster,SEC Beach Blvd & Edinger,16400 Beach Blvd,Westminster,CA,92683-7858,33.725785,-117.9857794,Orange County
Santa Ana,SWC Bristol & Alton,3300 S Bristol St,Santa Ana,CA,92704-7246,33.7028408,-117.887633,Orange County
Mesa Central,NEC Southern Ave & Gilbert Rd,1135 S Gilbert Rd,Mesa,AZ,85204-5205,33.3944733,-111.7854561,Maricopa County
Great Falls,SEC US Hwy 89 & 20th St S,2000 10th Ave S,Great Falls,MT,59405-2753,47.4929634,-111.2716905,Cascade County
San Angelo,SWC Sunset Dr & Hwy 545,4235 Sunset Dr,San Angelo,TX,76904-5653,31.4321624,-100.5013752,Tom Green County
Irving,NEC Airport Frwy & Belt Line,3333 W Airport Fwy,Irving,TX,75062-5921,32.8393611,-96.9908831,Dallas County
Aurora SE,SEC Quincy & Buckley,16910 E Quincy Ave,Aurora,CO,80015-2745,39.6362171,-104.7903463,Arapahoe County
Valencia,NEC Magic Mtn Pkwy & McBean,24425 Magic Mountain Pkwy,Valencia,CA,91355-3403,34.421221,-118.561725,Los Angeles County
Chino,NEC St Hwy 60 & Central Ave,5555 Philadelphia St,Chino,CA,91710-2481,34.032775,-117.681443,San Bernardino County
Aliso Viejo,NEC La Paz & Pacific Park,26932 La Paz Rd,Aliso Viejo,CA,92656-3038,33.5712832,-117.7053036,Orange County
St Louis Park,NEC S Hwy 100 & 36th St,3601 Highway 100 S,St Louis Park,MN,55416-2500,44.9372613,-93.3468877,Hennepin County
Las Vegas East,SEC S Nellis & Charleston Blvd,1200 S Nellis Blvd,Las Vegas,NV,89104-5752,36.1583281,-115.0604755,Clark County
Las Vegas Flamingo,NWC Maryland Pkwy & Flamingo,4001 S Maryland Pkwy,Las Vegas,NV,89119-7556,36.1169665,-115.1392707,Clark County
Roseville,NWC Douglas & Rocky Ridge Dr,1925 Douglas Blvd,Roseville,CA,95661-3834,38.7458614,-121.2543972,Placer County
Douglas County,SWC University & Cty Line Rd,1950 E County Line Rd,Highlands Ranch,CO,80126-2437,39.5653137,-104.9662815,Douglas County
Modesto,SWC Standiford & McHenery,3405 Mchenry Ave,Modesto,CA,95350-1445,37.6873867,-120.9963368,Stanislaus County
Escondido,NEC Auto Pkwy S & Valley Pkwy,1280 Auto Park Way,Escondido,CA,92029-2231,33.1134817,-117.0994063,San Diego County
Fresno West,NWC Shaw & Marks,3150 W Shaw Ave,Fresno,CA,93711-3215,36.8096003,-119.8478833,Fresno County
Lakeside,NWC Hall Rd & Schoenherr Rd,13221 Hall Rd,Shelby Township,MI,48315-5834,42.6281134,-82.9969415,Macomb County
Dearborn,SWC Ford Rd & Greenfield Rd,15901 Ford Rd,Dearborn,MI,48126-2800,42.3274005,-83.1989253,Wayne County
Southland,NEC Pardee Rd & Eureka Rd,14099 Pardee Rd,Taylor,MI,48180-4792,42.2036998,-83.2557377,Wayne County
Westland,SWC Warren Rd & Yale Rd,35401 Warren Rd,Westland,MI,48185-6590,42.3368096,-83.390852,Wayne County
Madison Heights,NWC Whitcombe & John R. Rd,32001 John R Rd,Madison Heights,MI,48071-1322,42.5280197,-83.1080278,Oakland County
Santa Ana,SEC E 17th St & Grand Ave,1330 E 17th St,Santa Ana,CA,92705-8500,33.7590328,-117.85008,Orange County
Woodland Hills,NEC Ventura Blvd & Serrania Av,20801 Ventura Blvd,Woodland Hills,CA,91364-2319,34.1673392,-118.5849804,Los Angeles County
Cerritos,NEC Bloomfield & Del Amo Blvd,20200 Bloomfield Ave,Cerritos,CA,90703-7821,33.8469125,-118.0620139,Los Angeles County
Gardena,NEC Redondo Beach & Van Ness,2169 W Redondo Beach Blvd,Gardena,CA,90247-3625,33.8865203,-118.3162124,Los Angeles County
Riverside Arlington,NEC Arlington Ave & McMahon St,3333 Arlington Ave,Riverside,CA,92506-3252,33.9478659,-117.3822372,Riverside County
Fullerton,SEC Yorba Linda Blvd & Placentia,2920 Yorba Linda Blvd,Fullerton,CA,92831-1523,33.8878952,-117.8779418,Orange County
North Hollywood,NWC Victory Blvd & Vineland,11051 Victory Blvd,North Hollywood,CA,91606-3719,34.1883628,-118.371261,Los Angeles County
Poway,SEC Pomerado & Camino Del Norte,14823 Pomerado Rd,Poway,CA,92064-2803,32.980703,-117.0603077,San Diego County
San Bernardino,NWC N Sterling & Highland Aves,2380 Sterling Ave,San Bernardino,CA,92404-4624,34.1378708,-117.2455898,San Bernardino County
Ventura,SWC Hwy 101 & Telephone Rd,4200 E Main St,Ventura,CA,93003-5230,34.2612958,-119.2367844,Ventura County
Northridge,SEC Corbin Ave & Nordhoff,8840 Corbin Ave,Northridge,CA,91324-3309,34.2309701,-118.5604565,Los Angeles County
Mission Viejo,NEC Alicia Parkway & I-5,24500 Alicia Pkwy,Mission Viejo,CA,92691-4508,33.6063297,-117.6881656,Orange County
Rancho Cucamonga,NEC Foothill Blvd & Haven Ave,10576 Foothill Blvd,Rancho Cucamonga,CA,91730-3890,34.1087659,-117.5742514,San Bernardino County
Duarte,SEC Huntington Dr & Bradbury,1050 Huntington Dr,Duarte,CA,91010-2475,34.1395146,-117.983267,Los Angeles County
Oceanside,NWC El Camino Real & Vista Way,2255 S El Camino Real,Oceanside,CA,92054-6318,33.1842161,-117.3302987,San Diego County
El Cajon,NWC Broadway & Ballantyne,250 Broadway,El Cajon,CA,92021-4539,32.8097594,-116.9593475,San Diego County
Mira Mesa,SWC Mira Mesa Blvd & Camino Ruiz,8251 Mira Mesa Blvd,San Diego,CA,92126-2603,32.9102691,-117.1460521,San Diego County
Palm Springs,NEC Hwy 111 & Creek Rd,67750 E Palm Canyon Dr,Cathedral City,CA,92234-5441,33.7897836,-116.4807792,Riverside County
Santa Maria,NEC Broadway & Betteravia,223 E Betteravia Rd,Santa Maria,CA,93454-7803,34.9231123,-120.4338081,Santa Barbara County
Sacramento Riverside,SEC Riverside & Broadway,2505 Riverside Blvd,Sacramento,CA,95818-2234,38.5621828,-121.4967731,Sacramento County
Sacramento Madison,NWC Madison & Auburn Blvd,5001 Madison Ave,Sacramento,CA,95841-2604,38.6620974,-121.3487711,Sacramento County
Sacramento Arden,NWC Fulton & Alta-Arden Expwy,1919 Fulton Ave,Sacramento,CA,95825-1905,38.6010233,-121.402855,Sacramento County
Stockton,NEC Pacific Ave & March Ln,4707 Pacific Ave,Stockton,CA,95207-6301,37.9917766,-121.3152705,San Joaquin County
Fresno South,NEC 1st & Shields,3173 E Shields Ave,Fresno,CA,93726-6902,36.7808048,-119.7709578,Fresno County
Chico,SEC 20th St & I-99,1951 E 20th St,Chico,CA,95928-6300,39.7260081,-121.8025425,Butte County
Yuba City,NEC Butte House Rd & Hwy 99,1153 Butte House Rd,Yuba City,CA,95991-3102,39.1461393,-121.6321623,Sutter County
Tempe,NEC Baseline & McClintock Dr,1818 E Baseline Rd,Tempe,AZ,85283-1502,33.3796507,-111.9078564,Maricopa County
Colma,NEC Serramonte & Junipero Serra,5001 Junipero Serra Blvd,Colma,CA,94014-3217,37.6735217,-122.4641526,San Mateo County
Redwood City,SEC El Camino Real & Charter,2485 El Camino Real,Redwood City,CA,94063-2849,37.4756627,-122.21706,San Mateo County
Mountain View,NEC Showers Dr & Latham St,555 Showers Dr,Mountain View,CA,94040-1432,37.4010106,-122.1060628,Santa Clara County
Cupertino,NWC Stevens Creek & Bandley Dr,20745 Stevens Creek Blvd,Cupertino,CA,95014-2123,37.3241877,-122.0361026,Santa Clara County
San Jose West,NWC Hillsdale Ave & Ross Ave,1811 Hillsdale Ave,San Jose,CA,95124-3027,37.2651823,-121.9188044,Santa Clara County
Dublin,NWC Armador Plz & Armador Valley,7200 Amador Plaza Rd,Dublin,CA,94568-2320,37.7066601,-121.931703,Alameda County
Pleasant Hill,NWC Contra Costa Blvd & Chilpancingo,560 Contra Costa Blvd,Pleasant Hill,CA,94523-1216,37.9770576,-122.0662835,Contra Costa County
Vallejo,NEC Admrl Callaghan Lane & Old Turner,904 Admiral Callaghan Lane,Vallejo,CA,94591-3680,38.1317013,-122.2226805,Solano County
Pittsburg,NWC Century Blvd & Sommersville,4301 Century Blvd,Pittsburg,CA,94565-7101,38.008035,-121.8400084,Contra Costa County
Corpus Christi,SWC Padre Island & S Staples,5425 S Padre Island Dr,Corpus Christi,TX,78411-5301,27.7062311,-97.3725033,Nueces County
Irvine,SWC Barranca Pkwy & Culver Dr,3750 Barranca Pkwy,Irvine,CA,92606-8200,33.6853635,-117.813286,Orange County
Everett,NEC Everett Mall Way & 3rd Ave,405 SE Everett Mall Way,Everett,WA,98208-3243,47.9104403,-122.2272725,Snohomish County
Lynnwood,NWC Alderwood Mall Blvd & 26th,18305 Alderwood Mall Pkwy,Lynnwood,WA,98037-3961,47.8325478,-122.2658377,Snohomish County
Factoria,SWC 128th Ave SE & SE 38th Pl,4053 Factoria Square Mall SE,Bellevue,WA,98006-1286,47.5738676,-122.1734605,King County
North Tacoma,NEC Union Ave & Hwy 16,3320 S 23rd St,Tacoma,WA,98405-1603,47.2377955,-122.4804022,Pierce County
Puyallup,NWC Meridan St & 112st St E,3310 S Meridian,Puyallup,WA,98373-3777,47.1599835,-122.2950817,Pierce County
Vancouver,SWC SR 500 & NE Thurston,7809C NE Vancouver Plaza Dr,Vancouver,WA,98662-6624,45.6494936,-122.5920898,Clark County
Beaverton,NWC 107th & Beaverton-Hillsdale,10775 SW Beaverton Hillsdale Hwy,Beaverton,OR,97005-3001,45.4882021,-122.7875252,Washington County
Washington Square,SEC Hall Blvd & Schools Ferry Rd,9009 SW Hall Blvd,Tigard,OR,97223-4432,45.453707,-122.7788138,Washington County
Clackamas,SEC 90th & Sunnyside Rd,9000 SE Sunnyside Rd,Clackamas,OR,97015-9758,45.4316783,-122.5702656,Clackamas County
Saginaw,NEC Tittabawasse Rd & Bay St,2772 Tittabawassee Rd,Saginaw,MI,48604-9433,43.4832034,-83.9708382,Saginaw County
Bellingham,NWC I-5 & Meridan St,30 Bellis Fair Pkwy,Bellingham,WA,98226-5573,48.7868805,-122.493556,Whatcom County
Lakewood,NEC Gravelly Lk Dr & Wildaire Ct SW,5618 Lakewood Town Center Blvd SW,Lakewood,WA,98499-3894,47.1632549,-122.51138,Pierce County
Flint,SEC Miller Rd & Ketzer Dr,G3515 Miller Rd,Flint,MI,48507-1273,42.9753551,-83.7517851,Genesee County
Rochester,NEC Auburn Rd & Rochester Rd,2887 S Rochester Rd,Rochester Hills,MI,48307-4580,42.6376075,-83.1291759,Oakland County
Dearborn Heights,NWC Ford Rd & John-Daly,26650 Ford Rd,Dearborn Heights,MI,48127-2841,42.3285691,-83.3023305,Wayne County
Canton,NEC Ford Rd & Sheldon,43670 Ford Rd,Canton,MI,48187-3101,42.3231082,-83.4709216,Wayne County
Topeka,SEC Wanamaker Rd & 21st St,2120 SW Wanamaker Rd,Topeka,KS,66614-5231,39.0276387,-95.7601807,Shawnee County
Albuquerque Wyoming,SWC Montgomery & Chenault,8510 Montgomery Blvd NE,Albuquerque,NM,87111-2307,35.1297754,-106.5475062,Bernalillo County
Albuquerque Lomas,SEC Lomas & Hotel,11120 Lomas Blvd NE,Albuquerque,NM,87112-5582,35.0849774,-106.527404,Bernalillo County
Clovis,SEC Shaw Ave & N Clovis,900 Shaw Ave,Clovis,CA,93612-3900,36.8065463,-119.698942,Fresno County
Rancho California,NEC Rancho CA Rd & Ynez Rd,29676 Rancho California Rd,Temecula,CA,92591-5283,33.5068682,-117.1459288,Riverside County
Eagan,NWC Cliff Rd & I-35E,2000 Cliff Lake Rd,Eagan,MN,55122-2400,44.7917259,-93.2054829,Dakota County
Lansing South,SWC E Edgewood Blvd & Amwood,500 E Edgewood Blvd,Lansing,MI,48911-5901,42.6631287,-84.5432194,Ingham County
Hillsboro,NEC Tualatin Valley & 21st Ave,2295 SE Tualatin Valley Hwy,Hillsboro,OR,97123-7915,45.5075593,-122.9570723,Washington County
Scottsdale,NEC Pima Rd & Indian Bend Rd,9000 E Talking Stick Way,Scottsdale,AZ,85250-8502,33.5385024,-111.8652089,Maricopa County
Wausau,SEC SP.H. 29 & Alderson St,2707 Schofield Ave,Schofield,WI,54476-2430,44.9061135,-89.5918251,Marathon County
East Lansing,NEC Marsh Rd & Grand River Ave,4890 Marsh Rd,Okemos,MI,48864-1123,42.72476,-84.412921,Ingham County
Lexington,NWC Nicholasville & Reynolds Rd,131 West Reynolds Rd,Lexington,KY,40503-3599,37.9926477,-84.5255484,Fayette County
Smyrna,SEC Cobb Pkwy & Windy Hill,2201 Cobb Pkwy SE,Smyrna,GA,30080-7633,33.8980655,-84.4789799,Cobb County
Grand Rapids North,NEC Alpine Ave NW & I-96,3248 Alpine Ave NW,Walker,MI,49544-1655,43.0223237,-85.6869115,Kent County
Omaha NW,NEC 132nd St & West Maple Rd,4001 N 132nd St,Omaha,NE,68164-1839,41.2948728,-96.1164365,Douglas County
Lawrence,SWC US 59 & 33rd St,3201 S Iowa St,Lawrence,KS,66046-5205,38.9257422,-95.2641662,Douglas County
Papillion,NWC Cornhusker & 84th,718 N Washington St,Papillion,NE,68046-3910,41.1652241,-96.0453839,Sarpy County
Davenport,SWC 53rd St & I-74,5225 Elmore Ave,Davenport,IA,52807-3454,41.5728086,-90.52598,Scott County
Kalamazoo,SEC Westnedge & Crossroads Dr,6839 S Westnedge Ave,Portage,MI,49002-3582,42.2180032,-85.5884121,Kalamazoo County
Sterling Heights,NEC 15 Mile Rd & Van Dyke Ave,35700 Van Dyke Ave,Sterling Heights,MI,48312-3564,42.5564762,-83.0266994,Macomb County
Silverdale,SWC Clear Creek Rd & Hwy 3,3201 NW Randall Way,Silverdale,WA,98383-7952,47.6577023,-122.6945878,Kitsap County
Olympia,SWC Mud Bay Hwy SW & Kenyon,2925 Harrison Ave NW,Olympia,WA,98502-2566,47.0444904,-122.9378943,Thurston County
Salem,SWC Center & Morgan,3790 Center St NE,Salem,OR,97301-2905,44.9384041,-122.9871899,Marion County
Albany,NEC Geary & 14th Ave,2255 14th Ave SE,Albany,OR,97322-8513,44.6304262,-123.078183,Linn County
Battle Creek,NWC Beckley Rd & Hwy 66,5700 Beckley Rd,Battle Creek,MI,49015-4184,42.2601074,-85.1847545,Calhoun County
Farmington Hills,SEC Tuck Ave & 9 Mile Rd,30020 Grand River Ave,Farmington Hills,MI,48336-4722,42.4533446,-83.3439732,Oakland County
Springfield,NWC Gateway St & Harlow Rd,2750 Gateway St,Springfield,OR,97477-1172,44.0713809,-123.0458915,Lane County
Medford,SWC Crater Lake Hwy & Bear Creek,2000 Crater Lake Hwy,Medford,OR,97504-4161,42.3476405,-122.8775852,Jackson County
Bakersfield NE,NWC Bernard St & Oswell St,3401 Mall View Rd,Bakersfield,CA,93306-3060,35.3939395,-118.954968,Kern County
Redding,NEC Dana Drive & Churn Creek,1280 Dana Dr,Redding,CA,96003-4038,40.5866828,-122.3482305,Shasta County
West Lansing,SEC Hwy 43 & Mall Dr,5609 W Saginaw Hwy,Lansing,MI,48917-2456,42.7380862,-84.6289627,Eaton County
Boise,SWC Emerald St & Milwaukee St,633 N Milwaukee St,Boise,ID,83704-9139,43.6104191,-116.2861996,Ada County
Pueblo,NEC Dillon Dr & Hart Rd,3300 Dillon Dr,Pueblo,CO,81008-1040,38.3025098,-104.6058645,Pueblo County
Shoreview,SEC Lexington & I-694,3800 Lexington Ave N,Shoreview,MN,55126-2916,45.0563524,-93.1440847,Ramsey County
LaCrosse,SWC Hwy 53/90 & Rt 16,9400 State Road 16,Onalaska,WI,54650-8540,43.8714173,-91.1950598,La Crosse County
Toledo NE,SEC West Alexis Rd & Lewis Ave,817 W Alexis Rd,Toledo,OH,43612-4303,41.7207348,-83.5603201,Lucas County
Toledo NW,SEC US 223 & Nantucket Dr,5225 Monroe St,Toledo,OH,43623-3139,41.699086,-83.65367,Lucas County
Toledo W,NWC Airport Hwy & US Hwy 23,1465 E Mall Dr,Holland,OH,43528-9490,41.6157479,-83.6948563,Lucas County
Albuquerque NW,SWC Coors Rd & Irving Blvd,9371 Coors Blvd NW,Albuquerque,NM,87114-4005,35.1860743,-106.6648139,Bernalillo County
San Jose Landess,SWC Landess & Morrill,2155 Morrill Ave,San Jose,CA,95132-1130,37.4136896,-121.8767235,Santa Clara County
South Center,SWC Strander Blvd & Auburn Pk,301 Strander Blvd,Tukwila,WA,98188-2971,47.455156,-122.2588641,King County
Longview,SWC I-5 & Allen St,205 Three Rivers Dr,Kelso,WA,98626-3127,46.1423978,-122.8987476,Cowlitz County
